store_id,uptime_last_hour,uptime_last_day,update_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
5014360692528129219,60.0,24.0,168.0,0.0,0.0,0.0
8363653675130006444,60.0,24.0,160.0,0.0,0.0,8.0
7469108739089752722,60.0,24.0,168.0,0.0,0.0,0.0
7828565466095434540,0.0,0.0,0.0,60.0,24.0,168.0
1288576128502837923,60.0,17.9,92.34,0.0,6.1,75.66
494584981462594241,60.0,9.99,66.58,0.0,14.01,101.42
924494512866798795,60.0,24.0,168.0,0.0,0.0,0.0
1009333266625513049,0.0,0.0,0.0,60.0,24.0,168.0
4115554697603818376,0.0,0.0,76.9,60.0,24.0,91.1
3310671370097249907,60.0,24.0,168.0,0.0,0.0,0.0
482405053040516887,60.0,24.0,168.0,0.0,0.0,0.0
6269139879097140365,60.0,24.0,168.0,0.0,0.0,0.0
2739506591976043860,60.0,13.0,128.9,0.0,11.0,39.1
4306062162897111672,60.0,24.0,166.02,0.0,0.0,1.98
8245825950638749372,60.0,15.0,139.03,0.0,9.0,28.97
4054909995682804339,60.0,24.0,168.0,0.0,0.0,0.0
2629184682400455388,0.0,0.0,0.0,60.0,24.0,168.0
752281089013846258,0.0,0.0,168.0,0.0,0.0,0.0
1803103253870975098,60.0,24.0,168.0,0.0,0.0,0.0
1298580698756743295,60.0,24.0,168.0,0.0,0.0,0.0
8008907219319216554,60.0,17.88,92.6,0.0,6.12,75.4
1694074305867984076,60.0,24.0,168.0,0.0,0.0,0.0
3258891942704923227,60.0,24.0,168.0,0.0,0.0,0.0
2960297822790286171,0.0,0.0,0.0,60.0,24.0,168.0
4771960929946904618,60.0,24.0,168.0,0.0,0.0,0.0
306275589933283277,0.0,0.0,27.21,60.0,24.0,140.79
3599251204194727910,60.0,24.0,168.0,0.0,0.0,0.0
3761065392460649801,50.7,13.91,112.0,9.3,10.09,56.0
3245433597727204948,59.65,7.12,57.53,0.35,16.88,110.47
3942136022551773279,60.0,24.0,168.0,0.0,0.0,0.0
7911029705250836944,60.0,24.0,168.0,0.0,0.0,0.0
4392262532304212457,60.0,24.0,168.0,0.0,0.0,0.0
7910873620393430408,60.0,24.0,124.99,0.0,0.0,43.01
6801672350951151970,0.0,0.0,0.0,60.0,24.0,168.0
5401719649147588482,60.0,24.0,168.0,0.0,0.0,0.0
4625110589066658924,0.0,0.0,0.0,60.0,24.0,168.0
1639892478985907487,0.0,0.0,0.0,60.0,24.0,168.0
8545446433867384261,60.0,24.0,168.0,0.0,0.0,0.0
1402891136913453677,0.0,0.0,0.0,60.0,24.0,168.0
5122159089165898554,60.0,23.0,165.34,0.0,1.0,2.66
